lon,lat,AOD,albedo,cloud,tp,tp_local,tp_yang_match
-69.75,-47.25,0.0171150518059021,0.168586208421406,0.58579042623941,5,3,5
-69.25,-47.25,0.0171150518059021,0.175259047269155,0.602038546114385,5,3,5
-68.75,-47.25,0.0213966241880745,0.16218242790667,0.61216775492247,5,3,5
-68.25,-47.25,0.0213966241880745,0.156094729477317,0.575949474814813,5,3,5
-67.75,-47.25,0.0231834221113434,0.125729487799514,0.560354662751939,5,3,5
-67.25,-47.25,0.0231834221113434,0.122036019332099,0.551022503905526,5,3,5
-66.75,-47.25,0.0276785112264851,0.101810646001891,0.547599080261552,5,3,5
-66.25,-47.25,0.0276785112264851,0.0827458610764158,0.531047086699284,5,3,5
-65.75,-47.25,0.040792933719911,0.0451019898714179,0.527159400135509,5,1,4
-74.75,-46.75,0.0523228373002495,0.0172745056501264,0.7243647646451,5,3,5
-74.25,-46.75,0.0523228373002495,0.046476409165626,0.737532401092394,5,3,5
-73.75,-46.75,0.0491537994740746,0.615187201030695,0.805663036112252,3,5,5
-73.25,-46.75,0.0491537994740746,0.844185437650452,0.770829916998443,3,5,5
-72.75,-46.75,0.0319600836086575,0.210487195230734,0.612680773695084,5,3,5
-72.25,-46.75,0.0319600836086575,0.369014728432239,0.755756988408695,5,5,5
-71.75,-46.75,0.0261951318184883,0.384585670912225,0.698446390369328,5,5,5
-71.25,-46.75,0.0261951318184883,0.264182738101213,0.658654089786918,5,3,5
-70.75,-46.75,0.0221720270604365,0.161664062734949,0.519994969797849,5,3,5
-70.25,-46.75,0.0221720270604365,0.143686573085721,0.536979890594392,5,3,5
-69.75,-46.75,0.0216888049805587,0.137397372327417,0.53160040893585,5,3,5
-69.25,-46.75,0.0216888049805587,0.146743765306263,0.561980768367244,5,3,5
-68.75,-46.75,0.022823814982132,0.126675924672359,0.54789970699459,5,3,5
-68.25,-46.75,0.022823814982132,0.124519460053542,0.549886430688253,5,3,5
-67.75,-46.75,0.0308250736070843,0.117545400167982,0.542606656166034,5,3,5
-67.25,-46.75,0.0308250736070843,0.0757823010764469,0.54217037889959,5,3,5
-74.75,-46.25,0.0523228373002495,0.0585958086242246,0.806637431623105,5,3,5
-74.25,-46.25,0.0523228373002495,0.100136970367329,0.798210760702757,5,3,5
-73.75,-46.25,0.0491537994740746,0.17291152400331,0.774842018603115,5,3,5
-73.25,-46.25,0.0491537994740746,0.414887803183784,0.871975067514422,5,5,5
-72.75,-46.25,0.0319600836086575,0.381145318128639,0.83951397733278,5,5,5
-72.25,-46.25,0.0319600836086575,0.282133496075554,0.754787386020793,5,3,5
-71.75,-46.25,0.0261951318184883,0.156572884223888,0.671243922993326,5,3,5
-71.25,-46.25,0.0261951318184883,0.146593948719064,0.561828367672988,5,3,5
-70.75,-46.25,0.0221720270604365,0.14965461376087,0.515072329449379,5,3,5
-70.25,-46.25,0.0221720270604365,0.122560021825026,0.518798750618387,5,3,5
-69.75,-46.25,0.0216888049805587,0.119440857257292,0.518154925974275,5,3,5
-69.25,-46.25,0.0216888049805587,0.131355361652954,0.523051023760168,5,3,5
-68.75,-46.25,0.022823814982132,0.126552892289711,0.546890625766038,5,3,5
-68.25,-46.25,0.022823814982132,0.114135121017468,0.537051065893264,5,3,5
-67.75,-46.25,0.0308250736070843,0.0815949362441395,0.522892232235311,5,3,5
-74.75,-45.75,0.051435057200009,0.0142614904215448,0.691734729764179,5,3,5
-74.25,-45.75,0.051435057200009,0.0458099383680657,0.743175607591147,5,3,5
-73.75,-45.75,0.0445238576854786,0.0582706312575239,0.733843706439516,5,3,5
-73.25,-45.75,0.0445238576854786,0.166993646542732,0.825769774579556,5,3,5
-72.75,-45.75,0.0332074708381094,0.322986439972046,0.811499359080865,5,5,5
-72.25,-45.75,0.0332074708381094,0.225566842970434,0.749930148608071,5,3,5
-71.75,-45.75,0.0281055446924235,0.172329272670276,0.645871861656041,5,3,5
-71.25,-45.75,0.0281055446924235,0.156424981421701,0.603498335517189,5,3,5
-70.75,-45.75,0.0202391387409255,0.135517007719902,0.505353834585333,5,3,5
-70.25,-45.75,0.0202391387409255,0.118955843257452,0.517973354230662,5,3,5
-69.75,-45.75,0.0246106129054009,0.137229964941165,0.534088245903184,5,3,5
-69.25,-45.75,0.0246106129054009,0.13438787901392,0.549622345075346,5,3,5
-68.75,-45.75,0.0263524599375183,0.114488734686492,0.536924898527848,5,3,5
-68.25,-45.75,0.0263524599375183,0.130753346512047,0.53347838543138,5,3,5
-67.75,-45.75,0.0303193760816308,0.0938195967155541,0.535505876439604,5,3,5
-67.25,-45.75,0.0303193760816308,0.0179480865907315,0.529506844985443,5,3,5
-74.75,-45.25,0.051435057200009,0.0142614904215448,0.666588202900368,5,3,5
-74.25,-45.25,0.051435057200009,0.0136951446401776,0.726677729933162,5,3,5
-73.75,-45.25,0.0445238576854786,0.0332198761163118,0.756065036751464,5,3,5
-73.25,-45.25,0.0445238576854786,0.110332008278411,0.80684430899434,5,3,5
-72.75,-45.25,0.0332074708381094,0.234317668298445,0.808600292779927,5,3,5
-72.25,-45.25,0.0332074708381094,0.232365889437551,0.778287449381497,5,3,5
-71.75,-45.25,0.0281055446924235,0.185063774459097,0.688058043688156,5,3,5
-71.25,-45.25,0.0281055446924235,0.162228705369192,0.596645664327163,5,3,5
-70.75,-45.25,0.0202391387409255,0.133202683814094,0.508629702196958,5,3,5
